EventCategoryId,Code,IsCritical,Description,Id,PriorityLevelId,SuppressionDurationSec
1,Access_Control_Door_Forced_Open,False,Access Control Door Forced Open - ฝ่าฝืนการเปิดประตูที่มีระบบควบคุมการเข้า-ออก,1,3,
1,Access_Control_System_Faulty,False,Access Control System Faulty - ระบบควบคุมการเข้าออกผิดปกติ,2,3,
1,Active_Shooter,True,Active Shooter - ก่อเหตุกราดยิง,3,1,
1,Blacklist_Alert,False,Blacklist_Alert - บุคคลที่อยู่ในบัญชีดำ,4,2,
1,Bomb_Threat,True,Bomb Threat - ขู่วางระเบิด,5,1,
1,Building_Evacuation,True,Building Evacuation - อพยพออกจากอาคาร,6,1,
1,Virtual_Patrol_Detection,False,Virtual Patrol Detection - ตรวจพบสิ่งผิดปกติผ่านกล้องวงจรปิด,7,3,
1,Carpark_System_Malfunction,False,Carpark System Malfunction - ระบบที่จอดรถขัดข้อง,8,3,
1,CCTV_Fault_No_live_view,False,CCTV Fault (No live view) - กล้องวงจรปิดไม่แสดงภาพ,9,3,
1,CCTV_Hardware_Damage,False,CCTV Hardware Damage - ความเสียหายของอุปกรณ์กล้องวงจรปิด,10,3,
1,Deceased_Person_Protocol,True,Deceased Person Protocol - การจัดการผู้เสียชีวิต,11,1,
1,Disease_Quarantine_Protocol,True,Disease Quarantine Protocol - ขั้นตอนการจัดการผู้เสียชีวิต,12,1,
1,Dispute_and_Harassment,False,Dispute and Harassment - เหตุทะเลาะวิวาทและการคุกคาม,13,3,
1,Panic_Alarm,False,Panic Alarm - สัญญาณขอความช่วยเหลือ,14,2,
1,Door_Left_Open,False,Door Left Open - ประตูเปิดทิ้งไว้,15,3,
1,Earthquake,True,Earthquake - แผ่นดินไหว,16,1,
1,Elevator_Stuck_Mantrap,False,Elevator Stuck (Mantrap) - ลิฟต์ค้าง (มีคนติดภายในลิฟต์),17,2,
1,Elevator_Stuck_No_Mantrap,False,Elevator Stuck (No Mantrap) - ลิฟต์ค้าง (ไม่มีคนติดภายในลิฟต์),18,3,
1,Fire_Alarm_Activation,True,Fire Alarm Activation - แจ้งเตือนอัคคีภัย,19,1,
1,Hazardous_Materials,True,Hazardous Materials - วัสดุอันตราย,20,1,
1,Hostage_Situation,True,Hostage Situation - สถานการณ์ตัวประกัน,21,1,
1,Illegal_Smoking,False,Illegal Smoking - สูบบุหรี่ในที่ห้ามสูบ,22,3,
