Altitude,ArgusOrgId,LocationCode,CreatedBy,CreatedOn,Description,ExternalReference,FloorNo,FullName,Id,Latitude,Longitude,ModifiedBy,ModifiedOn,Name,ParentLocationId,SecondaryQrCode,TopLocationId,LocationTypeId
,,PARQ,07a8840e-239a-4bab-a924-8d4a211c66f9,02/18/2025 12:36:51,,,,PARQ,1,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,PARQ,,,1,5
,,PARQ.PARQ,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:44:58,,,,PARQ.PARQ Zone (Not Used),2,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,PARQ Zone (Not Used),1,,2,4
,,PARQ.PARQ.Carpark,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:47:45,,,,PARQ.PARQ Zone (Not Used).Car Park,3,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,Car Park,2,,3,7
,,PARQ.PARQ.Retail,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:47:45,,,,PARQ.PARQ Zone (Not Used).Retail,4,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,Retail,2,,4,7
,,PARQ.PARQ.Office,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:47:45,,,,PARQ.PARQ Zone (Not Used).Office,5,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,Office,2,,5,7
,,PARQ.PARQ.CP,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:06,,,,PARQ.Car Park,6,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,Car Park,1,,6,1
,,PARQ.PARQ.RW,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:06,,,,PARQ.Retail West Wing,7,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,Retail West Wing,1,,7,1
,,PARQ.PARQ.EW,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:06,,,,PARQ.Retail East Wing,8,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,Retail East Wing,1,,8,1
,,PARQ.PARQ.OW,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:06,,,,PARQ.Office West Wing,9,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,Office West Wing,1,,9,1
,,PARQ.PARQ.OE,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:06,,,,PARQ.Office East Wing,10,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,Office East Wing,1,,10,1
,,PARQ.PARQ.CPB1,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:55,,,-1,PARQ.Car Park.Car Park B1,11,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,Car Park B1,6,,6,2
,,PARQ.PARQ.CPB2,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:55,,,-2,PARQ.Car Park.Car Park B2,12,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,Car Park B2,6,,6,2
,,PARQ.PARQ.CPB3,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:55,,,-3,PARQ.Car Park.Car Park B3,13,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,Car Park B3,6,,6,2
,,PARQ.PARQ.RWB1,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:55,,,-1,PARQ.Retail West Wing.B1,14,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B1,7,,7,2
,,PARQ.PARQ.RWB2,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:55,,,-2,PARQ.Retail West Wing.B2,15,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B2,7,,7,2
,,PARQ.PARQ.RW1F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:55,,,1,PARQ.Retail West Wing.1 Floor,16,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,1 Floor,7,,7,2
,,PARQ.PARQ.RW2F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:55,,,2,PARQ.Retail West Wing.2 Floor,17,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,2 Floor,7,,7,2
,,PARQ.PARQ.RW3F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:55,,,3,PARQ.Retail West Wing.3 Floor,18,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,3 Floor,7,,7,2
,,PARQ.PARQ.REB1,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:55,,,-1,PARQ.Retail East Wing.B1,19,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B1,8,,8,2
,,PARQ.PARQ.REB2,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:55,,,2,PARQ.Retail East Wing.B2,20,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B2,8,,8,2
,,PARQ.PARQ.RE1F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:55,,,1,PARQ.Retail East Wing.1 Floor,21,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,1 Floor,8,,8,2
,,PARQ.PARQ.RE2F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:55,,,2,PARQ.Retail East Wing.2 Floor,22,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,2 Floor,8,,8,2
,,PARQ.PARQ.RE3F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:55,,,3,PARQ.Retail East Wing.3 Floor,23,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,3 Floor,8,,8,2
,,PARQ.PARQ.OW1F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:55,,,1,PARQ.Office West Wing.1 Floor,24,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,1 Floor,9,,9,2
,,PARQ.PARQ.OW2F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:55,,,2,PARQ.Office West Wing.2 Floor,25,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,2 Floor,9,,9,2
,,PARQ.PARQ.OW3F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:55,,,3,PARQ.Office West Wing.3 Floor,26,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,3 Floor,9,,9,2
,,PARQ.PARQ.OW4F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:55,,,4,PARQ.Office West Wing.4 Floor,27,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,4 Floor,9,,9,2
,,PARQ.PARQ.OW5F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:55,,,5,PARQ.Office West Wing.5 Floor,28,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,5 Floor,9,,9,2
,,PARQ.PARQ.OW6F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:55,,,6,PARQ.Office West Wing.6 Floor,29,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,6 Floor,9,,9,2
,,PARQ.PARQ.OW7F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:55,,,7,PARQ.Office West Wing.7 Floor,30,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,7 Floor,9,,9,2
,,PARQ.PARQ.OW8F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:55,,,8,PARQ.Office West Wing.8 Floor,31,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,8 Floor,9,,9,2
,,PARQ.PARQ.OW9F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:55,,,9,PARQ.Office West Wing.9 Floor,32,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,9 Floor,9,,9,2
,,PARQ.PARQ.OW10F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:55,,,10,PARQ.Office West Wing.10 Floor,33,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,10 Floor,9,,9,2
,,PARQ.PARQ.OW11F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:55,,,11,PARQ.Office West Wing.11 Floor,34,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,11 Floor,9,,9,2
,,PARQ.PARQ.OW12F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:55,,,12,PARQ.Office West Wing.12 Floor,35,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,12 Floor,9,,9,2
,,PARQ.PARQ.OW14F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:56,,,14,PARQ.Office West Wing.14 Floor,36,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,14 Floor,9,,9,2
,,PARQ.PARQ.OW15F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:56,,,15,PARQ.Office West Wing.15 Floor,37,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,15 Floor,9,,9,2
,,PARQ.PARQ.OW16F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:56,,,16,PARQ.Office West Wing.16 Floor,38,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,16 Floor,9,,9,2
,,PARQ.PARQ.OW17F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:56,,,17,PARQ.Office West Wing.17 Floor,39,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,17 Floor,9,,9,2
,,PARQ.PARQ.OWRF,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:56,,,18,PARQ.Office West Wing.Rooftop Floor,40,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,Rooftop Floor,9,,9,2
,,PARQ.PARQ.OE1F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:56,,,1,PARQ.Office East Wing.1 Floor,41,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,1 Floor,10,,10,2
,,PARQ.PARQ.OE2F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:56,,,2,PARQ.Office East Wing.2 Floor,42,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,2 Floor,10,,10,2
,,PARQ.PARQ.OE3F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:56,,,3,PARQ.Office East Wing.3 Floor,43,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,3 Floor,10,,10,2
,,PARQ.PARQ.OE4F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:56,,,4,PARQ.Office East Wing.4 Floor,44,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,4 Floor,10,,10,2
,,PARQ.PARQ.OE5F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:56,,,5,PARQ.Office East Wing.5 Floor,45,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,5 Floor,10,,10,2
,,PARQ.PARQ.OE6F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:56,,,6,PARQ.Office East Wing.6 Floor,46,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,6 Floor,10,,10,2
,,PARQ.PARQ.OE7F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:56,,,7,PARQ.Office East Wing.7 Floor,47,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,7 Floor,10,,10,2
,,PARQ.PARQ.OE8F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:56,,,8,PARQ.Office East Wing.8 Floor,48,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,8 Floor,10,,10,2
,,PARQ.PARQ.OE9F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:56,,,9,PARQ.Office East Wing.9 Floor,49,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,9 Floor,10,,10,2
,,PARQ.PARQ.OE10F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:56,,,10,PARQ.Office East Wing.10 Floor,50,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,10 Floor,10,,10,2
,,PARQ.PARQ.OE11F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:56,,,11,PARQ.Office East Wing.11 Floor,51,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,11 Floor,10,,10,2
,,PARQ.PARQ.OE12F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:56,,,12,PARQ.Office East Wing.12 Floor,52,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,12 Floor,10,,10,2
,,PARQ.PARQ.OE14F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:56,,,14,PARQ.Office East Wing.14 Floor,53,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,14 Floor,10,,10,2
,,PARQ.PARQ.OE15F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:56,,,15,PARQ.Office East Wing.15 Floor,54,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,15 Floor,10,,10,2
,,PARQ.PARQ.OE16F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:56,,,16,PARQ.Office East Wing.16 Floor,55,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,16 Floor,10,,10,2
,,PARQ.PARQ.OE17F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:56,,,17,PARQ.Office East Wing.17 Floor,56,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,17 Floor,10,,10,2
,,PARQ.PARQ.OERF,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:48:56,,,18,PARQ.Office East Wing.Rooftop Floor,57,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,Rooftop Floor,10,,10,2
,,PARQ.PARQ.CPB1.B1A.A,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B1.B1A.A,58,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B1A.A,11,,6,3
,,PARQ.PARQ.CPB1.B1A.B,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B1.B1A.B,59,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B1A.B,11,,6,3
,,PARQ.PARQ.CPB1.B1A.C,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B1.B1A.C,60,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B1A.C,11,,6,3
,,PARQ.PARQ.CPB1.B1A.D,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B1.B1A.D,61,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B1A.D,11,,6,3
,,PARQ.PARQ.CPB1.B1A.E,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B1.B1A.E,62,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B1A.E,11,,6,3
,,PARQ.PARQ.CPB1.B1A.F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B1.B1A.F,63,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B1A.F,11,,6,3
,,PARQ.PARQ.CPB1.B1A.G,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B1.B1A.G,64,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B1A.G,11,,6,3
,,PARQ.PARQ.CPB1.B1A.H,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B1.B1A.H,65,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B1A.H,11,,6,3
,,PARQ.PARQ.CPB1.B1A.J,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B1.B1A.J,66,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B1A.J,11,,6,3
,,PARQ.PARQ.CPB1.B1A.K,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B1.B1A.K,67,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B1A.K,11,,6,3
,,PARQ.PARQ.CPB1.B1A.L,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B1.B1A.L,68,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B1A.L,11,,6,3
,,PARQ.PARQ.CPB1.B1A.M,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B1.B1A.M,69,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B1A.M,11,,6,3
,,PARQ.PARQ.CPB1.B1B.E,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B1.B1B.E,70,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B1B.E,11,,6,3
,,PARQ.PARQ.CPB1.B1B.F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B1.B1B.F,71,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B1B.F,11,,6,3
,,PARQ.PARQ.CPB1.B1C.E,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B1.B1C.E,72,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B1C.E,11,,6,3
,,PARQ.PARQ.CPB1.B1C.F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B1.B1C.F,73,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B1C.F,11,,6,3
,,PARQ.PARQ.CPB2.B2A.A,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B2.B2A.A,74,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B2A.A,12,,6,3
,,PARQ.PARQ.CPB2.B2A.B,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B2.B2A.B,75,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B2A.B,12,,6,3
,,PARQ.PARQ.CPB2.B2A.C,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B2.B2A.C,76,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B2A.C,12,,6,3
,,PARQ.PARQ.CPB2.B2A.D,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B2.B2A.D,77,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B2A.D,12,,6,3
,,PARQ.PARQ.CPB2.B2A.E,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B2.B2A.E,78,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B2A.E,12,,6,3
,,PARQ.PARQ.CPB2.B2A.F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B2.B2A.F,79,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B2A.F,12,,6,3
,,PARQ.PARQ.CPB2.B2A.G,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B2.B2A.G,80,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B2A.G,12,,6,3
,,PARQ.PARQ.CPB2.B2A.H,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B2.B2A.H,81,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B2A.H,12,,6,3
,,PARQ.PARQ.CPB2.B2A.J,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B2.B2A.J,82,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B2A.J,12,,6,3
,,PARQ.PARQ.CPB2.B2A.K,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B2.B2A.K,83,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B2A.K,12,,6,3
,,PARQ.PARQ.CPB2.B2A.L,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B2.B2A.L,84,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B2A.L,12,,6,3
,,PARQ.PARQ.CPB2.B2A.M,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B2.B2A.M,85,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B2A.M,12,,6,3
,,PARQ.PARQ.CPB2.B2A.N,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B2.B2A.N,86,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B2A.N,12,,6,3
,,PARQ.PARQ.CPB2.B2B.E,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B2.B2B.E,87,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B2B.E,12,,6,3
,,PARQ.PARQ.CPB2.B2B.F,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B2.B2B.F,88,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,B2B.F,12,,6,3
,,PARQ.PARQ.CPB1.RecycleGarbage,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B1.Recycle Garbage Room,89,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,Recycle Garbage Room,11,,6,3
,,PARQ.PARQ.CPB1.MotorcycleParking,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B1.Motorcycle Parking,90,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,Motorcycle Parking,11,,6,3
,,PARQ.PARQ.CPB1.BikeRoom,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B1.BIKE Room,91,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,BIKE Room,11,,6,3
,,PARQ.PARQ.CPB1.BikeRoom.WomenToilet,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B1.BIKE Room Women Toilet,92,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,BIKE Room Women Toilet,11,,6,3
,,PARQ.PARQ.CPB1.BikeRoom.MenToilet,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B1.BIKE Room Men Toilet,93,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,BIKE Room Men Toilet,11,,6,3
,,PARQ.PARQ.CPB1.Mailroom,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B1.Mail room,94,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,Mail room,11,,6,3
,,PARQ.PARQ.CPB1.Security,07a8840e-239a-4bab-a924-8d4a211c66f9,02/19/2025 13:49:46,,,,PARQ.Car Park.Car Park B1.Security & Guard Room,95,,,07a8840e-239a-4bab-a924-8d4a211c66f9,11/26/2025 10:15:17,Security & Guard Room,11,,6,3
