Name, Priority, ServiceCategory, IsAutoCreateCwo, Checklist
"Access Control System Faulty","Cat 3","Access Control","","CWO General"
"Carpark System Malfunction","Cat 3","Traffic & Carpark","","CWO General"
"Disease Quarantine Protocol","Cat 1","Health & Safety","","CWO General"
"Elevator - Faulty","Cat 3","Elevators & Escalators","","CWO General"
"Safety Concern","Cat 3","Health & Safety","","CWO General"
"Smoke Detection","Cat 2","Fire System","","CWO General"
"Trapped in Toilet","Cat 3","Health & Safety","","CWO General"
"Wild Animal (Injury)","Cat 2","Pest Control","","CWO General"
"Wild Animal (No Injury)","Cat 3","Pest Control","","CWO General"
" Aircon Temperature (Hot, Cold) - อุณหภูมิเครื่องปรับอากาศ (ร้อน, เย็น)","Cat 3","HVAC","","CWO General"
"Audio Visual System Fault","Cat 3","Audio Visual","","CWO General"
"Chilled Water Supply Fault Alarm","Cat 2","HVAC","","CWO General"
"Clogged Air Filter ","Cat 3","HVAC","","CWO General"
"Electrical Issue","Cat 3","Electrical","","CWO General"
"Emergency & Exit Lights issue ","Cat 3","Fire System","","CWO General"
"Equipment High Temperature","Cat 3","Mechanical","","CWO General"
"Fallen Object","Cat 3","Health & Safety","","CWO General"
"Fallen Tree (Injury)","Cat 2","Landscaping & Gardening","","CWO General"
"Fallen Tree (Obstruction)","Cat 2","Landscaping & Gardening","","CWO General"
"Fire Equipment Damaged (Hosereel, Hydrant, Panels)","Cat 3","Fire System","","CWO General"
"Fire Exit Doors","Cat 3","Fire System","","CWO General"
"Fire Extinguisher - Portable  ","Cat 3","Fire System","","CWO General"
"Fire Suppression System","Cat 2","Fire System","","CWO General"
"Flooding (Floor)","Cat 2","Plumbing","","CWO General"
"Flooding (Space)","Cat 3","Plumbing","","CWO General"
"Gas Equipment Issue  ","Cat 3","Gas Supply","","CWO General"
"Gas Leak","Cat 1","Gas Supply","","CWO General"
"Generator Issue ","Cat 2","Mechanical","","CWO General"
"HVAC Trip Breaker","Cat 2","HVAC","","CWO General"
"HVAC Smoke Detection","Cat 1","HVAC","","CWO General"
"Check HVAC Systems","Cat 3","HVAC","","CWO General"
"Litter & Trash ","Cat 3","Waste","","CWO General"
"Plant Issue  ","Cat 3","Landscaping & Gardening","","CWO General"
"Lighting Device Offline","Cat 4","Electrical","","CWO General"
"Lighting Faulty (Indoor)","Cat 3","Electrical","","CWO General"
"Lighting Faulty (Outdoor)","Cat 3","Electrical","","CWO General"
"Mould Growth","Cat 3","Cleaning","","CWO General"
"Office Gantry Issue","Cat 3","Access Control","","CWO General"
"Pest Infestation","Cat 3","Pest Control","","CWO General"
"Petrol/Gasoline Leak  ","Cat 3","Waste","","CWO General"
"Pipe Corrosion  ","Cat 3","Plumbing","","CWO General"
"Air Quality Issue ","Cat 3","Health & Safety","","CWO General"
"Power Supply Issue","Cat 3","Electrical","","CWO General"
"Power Socket Faulty","Cat 3","Electrical","","CWO General"
"Property Damage - Barriers, Bollards","Cat 3","Civil","","CWO General"
"Property Damage - Ceiling","Cat 3","Civil","","CWO General"
"Property Damage - Door or Door Handle","Cat 3","Civil","","CWO General"
"Property Damage - Furniture","Cat 3","Civil","","CWO General"
"Property Damage - Painting","Cat 3","Civil","","CWO General"
"Property Damage - Railings, Fence","Cat 3","Civil","","CWO General"
"Property Damage - Roller Shutters","Cat 3","Civil","","CWO General"
"Property Damage - Structural","Cat 3","Civil","","CWO General"
"Property Damage - Wall, Pillar, Floor","Cat 3","Civil","","CWO General"
"Booster Pump Alarm","Cat 3","Plumbing","","CWO General"
"Drainage Pump","Cat 3","Plumbing","","CWO General"
"Rubbish Bin Full","Cat 3","Waste","","CWO General"
"Sensors / Switches - Common Area","Cat 3","Electrical","","CWO General"
"Sump Pump Failures ","Cat 2","Mechanical","","CWO General"
"Toilet Amenities Top-up (Soap and Toilet Paper)","Cat 4","Cleaning","","CWO General"
"Toilet Cleaning and Inspection","Cat 3","Cleaning","","CWO General"
"Toilet Equipment Faulty","Cat 3","Cleaning","","CWO General"
"Toilet Water Overflow","Cat 3","Plumbing","","CWO General"
"Tripped Breaker Issue","Cat 3","Electrical","","CWO General"
"UPS ","Cat 2","Electrical","","CWO General"
"Water Feature","Cat 3","Plumbing","","CWO General"
"Water Leak","Cat 3","Plumbing","","CWO General"
"Water Outage - District/Component  ","Cat 1","Plumbing","","CWO General"
"Water Outage - Floor","Cat 2","Plumbing","","CWO General"
"Water Outage - Space","Cat 3","Plumbing","","CWO General"
"Water Pressure ","Cat 3","Plumbing","","CWO General"
"Leak from Pipes ","Cat 3","Plumbing","","CWO General"
"Wet Floor","Cat 3","Cleaning","","CWO General"
"District Power BSP Alarm","Cat 1","Electrical","","CWO General"
"District Chiller BSD Alarm","Cat 1","HVAC","","CWO General"
"Escalator Breakdown","Cat 3","Elevators & Escalators","","CWO General"
"Fire Alarm Issue  ","Cat 3","Fire System","","CWO General"
"Pre-Action System Issue","Cat 2","Fire System","","CWO General"
"Fire Pump and Tank Alarm","Cat 3","Fire System","","CWO General"
"Transformer  ","Cat 1","Electrical","","CWO General"
"CCTV - Camera Issue CCTV","Cat 3","CCTV","","CWO General"
"Deceased Person Protocol","Cat 1","Health & Safety","","CWO General"
"Fire Alarm","Cat 1","Fire System","","CWO General"
"Hazardous Materials","Cat 1","Health & Safety","","CWO General"
"Vandalism","Cat 3","Civil","","CWO General"
"Bad Odour","Cat 3","Health & Safety","","CWO General"
"Cleaning Required - ต้องการให้ทำความสะอาด","Cat 3","Cleaning","","CWO General"
"Clogged Drains","Cat 3","Plumbing","","CWO General"
"Fuel Pump","Cat 3","Mechanical","","CWO General"
"Fuel Tank","Cat 3","Mechanical","","CWO General"
"Flooding (District, Component)","Cat 1","Plumbing","","CWO General"
"Power Outage (District, Component)","Cat 1","Electrical","","CWO General"
"Power Outage (Floor)","Cat 2","Electrical","","CWO General"
"Power Outage (Space)","Cat 3","Electrical","","CWO General"
"Property Damage - Window and Glass Facade ","Cat 3","Civil","","CWO General"
"Variable Speed Drive VSD Failure","Cat 3","Mechanical","","CWO General"
"Waste Compactor Malfunction","Cat 3","Waste","","CWO General"
"Waste Water Treatment Critical Alarms","Cat 2","Waste","","CWO General"
"Waste Water Treatment Common Alarms","Cat 3","Waste","","CWO General"
"Water Tank","Cat 3","Plumbing","","CWO General"
"Test Problem Type","Cat 3","Cleaning","","CWO General"
"Noise Disturbance - การรบกวนทางเสียง","Cat 3","Security","","CWO General"
"Door Left Open - ประตูเปิดทิ้งไว้","Cat 3","Electrical","","CWO General"
"AHU Duct Smoke Alarm","Cat 3","HVAC","","CWO General"
"AHU Duct Smoke Detector Fault","Cat 3","HVAC","","CWO General"
"AHU EC Fan Fault","Cat 3","HVAC","","CWO General"
"AHU VSD Fault","Cat 3","HVAC","","CWO General"
"Pressure Sensor Alarm","Cat 3","HVAC","","CWO General"
"Booster Pump Trip Alarm","Cat 3","Plumbing","","CWO General"
"Carpark Lift General Alarm","Cat 2","Elevators & Escalators","","CWO General"
"Carpark Exhaust Fan VSD Fault","Cat 3","Mechanical","","CWO General"
"Drainage Pump High Level Alarm","Cat 3","Plumbing","","CWO General"
"Drainage Pump Trip Alarm","Cat 3","Plumbing","","CWO General"
"EDB Trip Alarm","Cat 1","Electrical","","CWO General"
"Escalator General Alarm","Cat 3","Elevators & Escalators","","CWO General"
"Exhaust Fan Trip Alarm","Cat 3","Mechanical","","CWO General"
"Fire Tank High Level Alarm","Cat 3","Fire System","","CWO General"
"Fire Tank Low Level Alarm","Cat 2","Fire System","","CWO General"
"Fire Pump Failure Alarm","Cat 2","Fire System","","CWO General"
"Fire Pump Status","Cat 3","Fire System","","CWO General"
"Fire Pump Trip Alarm","Cat 2","Fire System","","CWO General"
"Generator Fuel Alarm","Cat 3","Electrical","","CWO General"
"Generator General Alarm","Cat 3","Electrical","","CWO General"
"Generator Status","Cat 3","Electrical","","CWO General"
"Generator Trip Alarm","Cat 2","Electrical","","CWO General"
"Ground Tank High Level Alarm","Cat 3","Plumbing","","CWO General"
"Ground Tank Low Level Alarm","Cat 2","Plumbing","","CWO General"
"Integrated Resource Recovery Pump Trip Alarm","Cat 3","Plumbing","","CWO General"
"Jet Fan Trip Alarm","Cat 3","Mechanical","","CWO General"
"Jockey Pump Failure Alarm","Cat 2","Plumbing","","CWO General"
"Jockey Pump Trip Alarm","Cat 2","Plumbing","","CWO General"
"Kitchen Exhaust Fan VSD Fault","Cat 3","Mechanical","","CWO General"
"Kitchen Makeup Fan Smoke Alarm","Cat 3","Mechanical","","CWO General"
"Kitchen Makeup Fan Smoke Detector Fault","Cat 3","Mechanical","","CWO General"
"Kitchen Makeup Fan VSD Fault","Cat 3","Mechanical","","CWO General"
"Lift General Alarm","Cat 2","Elevators & Escalators","","CWO General"
"MDB Trip Alarm","Cat 1","Electrical","","CWO General"
"PAU Duct Smoke Detector Fault","Cat 3","HVAC","","CWO General"
"PAU EC Fan Fault","Cat 3","HVAC","","CWO General"
"PAU Transformer Trip Alarm","Cat 3","HVAC","","CWO General"
"PAU VSD Fault","Cat 3","HVAC","","CWO General"
"PAU Duct Smoke Alarm","Cat 3","HVAC","","CWO General"
"Recycle Booster Pump Trip Alarm","Cat 3","Plumbing","","CWO General"
"Roof Tank High Level Alarm","Cat 3","Plumbing","","CWO General"
"Roof Tank Low Level Alarm","Cat 2","Plumbing","","CWO General"
"Sanitary Pump Trip Alarm","Cat 3","Plumbing","","CWO General"
"Sanitary Tank High Level Alarm","Cat 3","Plumbing","","CWO General"
"Sanitary Tank Low Level Alarm","Cat 2","Plumbing","","CWO General"
"Service Lift General Alarm","Cat 2","Elevators & Escalators","","CWO General"
"Sewage Water Pump Trip Alarm","Cat 2","Plumbing","","CWO General"
"Sludge Pump Status","Cat 3","Plumbing","","CWO General"
"Sludge Pump Trip Alarm","Cat 2","Plumbing","","CWO General"
"Submersible Areator Trip Alarm","Cat 2","Plumbing","","CWO General"
"SWP Effluent Pump Trip Alarm","Cat 2","Plumbing","","CWO General"
"Transfer Pump Trip Alarm","Cat 2","Plumbing","","CWO General"
"Transformer General Alarm","Cat 1","Electrical","","CWO General"
"Transformer Trip Alarm","Cat 1","Electrical","","CWO General"
"Transformer High Temp Alarm","Cat 2","Electrical","","CWO General"
"Water Tank High Level Alarm","Cat 3","Plumbing","","CWO General"
"Water Tank Low Level Alarm","Cat 2","Plumbing","","CWO General"
"L1 : Mozart : Add User - เพิ่มผู้ใช้","Cat 3","L1","","CWO General"
"L1 : Mozart : Edit permission - แก้ไขสิทธิ์","Cat 3","L1","","CWO General"
"L1 : Mozart : Edit User Location - แก้ไขพื้นที่ดูแลของผู้ใช้","Cat 3","L1","","CWO General"
"L1 : Mozart : Create CWO Issues - ปัญหาในการสร้าง CWO","Cat 3","L1","","CWO General"
"Lost & Found Items - ทรัพย์สินสูญหายและหาพบ","Cat 3","Security","",""
"Carpark Makeup Fan VSD Fault","Cat 3","Mechanical","","CWO General"
"Carbon Monoxide Alarm","Cat 3","Mechanical","","CWO General"
"Drainage Pump Low Level Alarm","Cat 3","Plumbing","","CWO General"
"PrecoolAirUnit Duct Smoke Alarm","Cat 3","HVAC","","CWO General"
"Pressurized Fan VSD Fault","Cat 3","Mechanical","","CWO General"
"Pressurized Fan Mode Of Selector","Cat 3","Mechanical","","CWO General"
"Controller Fault","Cat 3","Electrical","","CWO General"
"Panic Alarm","Cat 2","Security","",""
